methodId,methodKey,engineId,upstreamCommit,repositoryCommit,freezeManifestSha256,scenarioSet,metric,unit,scope,estimator,estimate,confidenceLower,confidenceUpper,contributingScenarios,bootstrapReplicates
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,ttc_at_onset,s,pairwise,median,,,,92,0
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,minimum_pre_correction_physical_clearance,m,pairwise,median,0.23141422829469804,0.22294677763421225,0.2485173586107435,200,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,minimum_post_correction_physical_clearance,m,pairwise,median,0.23141422829469804,0.22294151714428578,0.2486690029003922,200,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,success_fraction,fraction,overall,mean,0.6208978174603175,0.6195436507936508,0.6222321428571428,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,pre_correction_overlap_exposure,pair-s per agent-s,overall,mean,1.6041647278025792,1.5998668933945104,1.6083144434110448,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,maximum_pre_correction_penetration,m,overall,median,0.4902556677501456,0.4873086208570956,0.49367506124886906,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,normalized_travel_time,ratio conditional on success,overall,median,1.0028852746099644,0.9924001972106804,1.0127200093480107,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,path_ratio,path length / straight-line distance,overall,median,0.9787273833372871,0.977287333784075,0.9801876028840328,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,rms_acceleration,m/s^2,overall,median,1.8263159541599776,1.759782052988299,1.8772350824158228,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,rms_jerk,m/s^3,overall,median,105.96863501418514,101.99939827764551,109.15140518878162,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,correction_ratio,ratio,overall,median,0,0,0,290,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_bottleneck,throughput,agents/s,bottleneck,mean,0.39499999999999996,0.38416666666666666,0.4066666666666667,30,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,avoidance_onset_rate,fraction,pairwise,mean,0.3825,0.365,0.4,200,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,ttc_at_onset,s,pairwise,median,,,,90,0
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,minimum_pre_correction_physical_clearance,m,pairwise,median,0.0323201623588176,0.018972812460598426,0.052706501461806776,200,10000
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pysocialforce_engine_v1,8c81cd1ed5db8d0e933417cec77954aa967d4459,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,minimum_post_correction_physical_clearance,m,pairwise,median,0.0323201623588176,0.018994624157457285,0.05282885871097809,200,10000
