family,methodId,methodKey,engineId,upstreamCommit,metric,unit,estimator,estimate,contributingScenarios,freezeManifestSha256
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,correction_ratio,ratio,median,0.7031700119737683,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,success_fraction,fraction,mean,0.03452380952380953,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,pre_correction_overlap_exposure,pair-s per agent-s,mean,1.0059947916666665,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,maximum_pre_correction_penetration,m,median,0.11072667971970782,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,normalized_travel_time,ratio conditional on success,median,1.5063724459283003,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,path_ratio,path length / straight-line distance,median,0.9714847043747663,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_acceleration,m/s^2,median,6.729562451335956,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_jerk,m/s^3,median,540.3264275236667,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,correction_ratio,ratio,median,2.1369335469470503,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,throughput,agents/s,mean,0.19333333333333333,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,success_fraction,fraction,mean,0.875,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,pre_correction_overlap_exposure,pair-s per agent-s,mean,0.0022138888888888907,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
